Zeitstempel;Market/contact;norm_name;Filename;Assessed level;Date of pic;Time;Skip #;;;;;;
9.29.2023 12:02:22;Chilobwe police;chilobwe police;WhatsApp Image 2023-09-29 at 07.39.30.jpg;3;29.09.2023;07:39:00;;;;;;;
9.29.2023 12:03:27;Blantyre Flea Market;blantyre flea market;WhatsApp Image 2023-09-29 at 07.51.56.jpg;4;29.09.2023;07:51:00;;;;;;;
9.29.2023 12:04:15;Mibawa;mibawa;WhatsApp Image 2023-09-29 at 07.52.40.jpg;2;29.09.2023;07:52:00;;;;;;;
9.29.2023 12:06:09;Kachere;kachere;WhatsApp Image 2023-09-29 at 08.04.52.jpg;3;29.09.2023;08:04:00;;;;;;;
9.29.2023 12:07:34;Chilomoni market;chilomoni market;WhatsApp Image 2023-09-29 at 08.53.23.jpg;5;29.09.2023;08:53:00;;;;;;;
9.29.2023 12:09:22;Blantyre;blantyre produce market;WhatsApp Image 2023-09-29 at 08.57.43.jpg;5;29.09.2023;08:58:00;;;;;;;
9.29.2023 12:11:28;Manase;manase;WhatsApp Image 2023-09-29 at 09.31.42.jpg;4;29.09.2023;09:31:00;;;;;;;
9.29.2023 12:13:00;South Lunzu;south lunzu;WhatsApp Image 2023-09-28 at 19.31.51.jpg;0;28.09.2023;19:31:00;;;;;;;
9.29.2023 12:14:23;South Lunzu;south lunzu;WhatsApp Image 2023-09-29 at 10.00.43.jpg;3;29.09.2023;10:00:00;;;;;;;
9.29.2023 12:16:31;Kamba/Soche market;kamba/soche market;WhatsApp Image 2023-09-29 at 10.08.20.jpg;4;29.09.2023;10:08:00;;;;;;;
9.29.2023 12:17:07;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-09-29 at 10.10.11.jpg;4;29.09.2023;10:10:00;;;;;;;
9.29.2023 19:02:54;Zingwangwa waterboard;zingwangwa waterboard;temp.jpg;3;29.09.2023;16:16:00;;;;;;;
9.29.2023 19:03:45;Chilomoni market;chilomoni market;WhatsApp Image 2023-09-29 at 16.23.31.jpg;5;29.09.2023;16:23:00;;;;;;;
9.29.2023 19:05:43;South Lunzu;south lunzu;WhatsApp Image 2023-09-29 at 16.25.18.jpg;3;29.09.2023;16:25:00;;;;;;;
9.29.2023 19:06:29;Kachere;kachere;WhatsApp Image 2023-09-29 at 16.27.51.jpg;2;29.09.2023;16:27:00;;;;;;;
9.29.2023 19:07:53;Nthukwa;nthukwa;WhatsApp Image 2023-09-29 at 17.38.25.jpg;Ambiguous/not overflowing;29.09.2023;17:38:00;;;;;;;
10.01.2023 17:01;Zingwangwa;zingwangwa/thawale;WhatsApp Image 2023-09-30 at 10.18.49.jpg;4;30.09.2023;10:18:00;;;;;;;
